country,name,full_name,symbol,currency,class,market
united states,NQ US Small Cap Airlines,NASDAQ US Small Cap Airlines,NQUSS5751,USD,other_indices,global_indices
united states,NQ US Sml Cap Travel & Leisure,NASDAQ US Sml Cap Travel & Leisure,NQUSS5700,USD,other_indices,global_indices
united states,NQ US Small Cap Publishing,NASDAQ US Small Cap Publishing,NQUSS5557,USD,other_indices,global_indices
united states,NQ US Small Cap Media Agencies,NASDAQ US Small Cap Media Agencies,NQUSS5555,USD,other_indices,global_indices
united states,NQ US Small Cap Broadcasting & Entertainment,NASDAQ US Small Cap Broadcasting & Entertainment,NQUSS5553,USD,other_indices,global_indices
united states,NQ US Small Cap Media,NASDAQ US Small Cap Media,NQUSS5500,USD,other_indices,global_indices
united states,NQ US Small Cap Specialty Retailers,NASDAQ US Small Cap Specialty Retailers,NQUSS5379,USD,other_indices,global_indices
united states,NQ US Small Cap Specialized Consumer Services,NASDAQ US Small Cap Specialized Consumer Services,NQUSS5377,USD,other_indices,global_indices
united states,NQ US Small Cap Clothing & Accessories,NASDAQ US Small Cap Clothing & Accessories,NQUSS3763,USD,other_indices,global_indices
united states,NQ US Small Cap Personal Goods,NASDAQ US Small Cap Personal Goods,NQUSS3760,USD,other_indices,global_indices
united states,NQ US Small Cap Toys,NASDAQ US Small Cap Toys,NQUSS3747,USD,other_indices,global_indices
united states,NQ US Small Cap Recreational Products,NASDAQ US Small Cap Recreational Products,NQUSS3745,USD,other_indices,global_indices
united states,NQ US Small Cap Trucking,NASDAQ US Small Cap Trucking,NQUSS2779,USD,other_indices,global_indices
united states,NQ US Small Cap Transportation Services,NASDAQ US Small Cap Transportation Services,NQUSS2777,USD,other_indices,global_indices
united states,NQ US Small Cap Industrial Transportation,NASDAQ US Small Cap Industrial Transportation,NQUSS2770,USD,other_indices,global_indices
united states,NQ US Small Cap Industrial Machinery,NASDAQ US Small Cap Industrial Machinery,NQUSS2757,USD,other_indices,global_indices
united states,NQ US Small Cap Commercial Vehicles & Trucks,NASDAQ US Small Cap Commercial Vehicles & Trucks,NQUSS2753,USD,other_indices,global_indices
united states,NQ US Small Cap Industrial Engineering,NASDAQ US Small Cap Industrial Engineering,NQUSS2750,USD,other_indices,global_indices
united states,NQ US Small Cap Electronic Equipment,NASDAQ US Small Cap Electronic Equipment,NQUSS2737,USD,other_indices,global_indices
united states,NQ US Small Cap Electrical Components & Equipment,NASDAQ US Small Cap Electrical Components & Equipment,NQUSS2733,USD,other_indices,global_indices
united states,NQ US Small Cap Electronic & Electrical Equipment,NASDAQ US Small Cap Electronic & Electrical Equipment,NQUSS2730,USD,other_indices,global_indices
united states,NQ US Small Cap Containers & Packaging,NASDAQ US Small Cap Containers & Packaging,NQUSS2723,USD,other_indices,global_indices
united states,NQ US Small Cap General Industrials,NASDAQ US Small Cap General Industrials,NQUSS2720,USD,other_indices,global_indices
united states,NQ US Small Cap Defense,NASDAQ US Small Cap Defense,NQUSS2717,USD,other_indices,global_indices
united states,NQ US Small Cap Aerospace,NASDAQ US Small Cap Aerospace,NQUSS2713,USD,other_indices,global_indices
united states,NQ US Small Cap Aerospace & Defense,NASDAQ US Small Cap Aerospace & Defense,NQUSS2710,USD,other_indices,global_indices
united states,NQ US Small Cap Industrial G&S,NASDAQ US Small Cap Industrial G&S,NQUSS2700,USD,other_indices,global_indices
united states,NQ US Small Cap Support Services,NASDAQ US Small Cap Support Services,NQUSS2790,USD,other_indices,global_indices
united states,NQ US Sml Cap Construct & Mtrl,NASDAQ US Sml Cap Construct & Mtrl,NQUSS2300,USD,other_indices,global_indices
united states,NQ US Small Cap Business Support Services,NASDAQ US Small Cap Business Support Services,NQUSS2791,USD,other_indices,global_indices
united states,NQ US Small Cap Financial Administration,NASDAQ US Small Cap Financial Administration,NQUSS2795,USD,other_indices,global_indices
united states,NQ US Small Cap Consumer Electronics,NASDAQ US Small Cap Consumer Electronics,NQUSS3743,USD,other_indices,global_indices
united states,NQ US Small Cap Leisure Goods,NASDAQ US Small Cap Leisure Goods,NQUSS3740,USD,other_indices,global_indices
united states,NQ US Small Cap Furnishings,NASDAQ US Small Cap Furnishings,NQUSS3726,USD,other_indices,global_indices
united states,NQ US Small Cap Nondurable Household Products,NASDAQ US Small Cap Nondurable Household Products,NQUSS3724,USD,other_indices,global_indices
united states,NQ US Small Cap Durable Household Products,NASDAQ US Small Cap Durable Household Products,NQUSS3722,USD,other_indices,global_indices
united states,NQ US Small Cap Personal & Household Goods,NASDAQ US Small Cap Personal & Household Goods,NQUSS3700,USD,other_indices,global_indices
united states,NQ US Small Cap Food Products,NASDAQ US Small Cap Food Products,NQUSS3577,USD,other_indices,global_indices
united states,NQ US Small Cap Food Producers,NASDAQ US Small Cap Food Producers,NQUSS3570,USD,other_indices,global_indices
united states,NQ US Small Cap Beverages,NASDAQ US Small Cap Beverages,NQUSS3530,USD,other_indices,global_indices
united states,NQ US Small Cap Food & Beverage,NASDAQ US Small Cap Food & Beverage,NQUSS3500,USD,other_indices,global_indices
united states,NQ US Small Cap Auto Parts,NASDAQ US Small Cap Auto Parts,NQUSS3355,USD,other_indices,global_indices
united states,NQ US Small Cap Automobiles & Parts,NASDAQ US Small Cap Automobiles & Parts,NQUSS3300,USD,other_indices,global_indices
united states,NQ US Small Cap Consumer Goods,NASDAQ US Small Cap Consumer Goods,NQUSS3000,USD,other_indices,global_indices
united states,NQ US Small Cap Waste & Disposal Services,NASDAQ US Small Cap Waste & Disposal Services,NQUSS2799,USD,other_indices,global_indices
united states,NQ US Small Cap Industrial Suppliers,NASDAQ US Small Cap Industrial Suppliers,NQUSS2797,USD,other_indices,global_indices
united states,NQ US Small Cap Business Training & Employment Age,NASDAQ US Small Cap Business Training & Employment Agencies,NQUSS2793,USD,other_indices,global_indices
united states,NQ US Mid Cap Health Care Equipment & Services,NASDAQ US Mid Cap Health Care Equipment & Services,NQUSM4530,USD,other_indices,global_indices
united states,NQ US Large Cap Industrial Machinery,NASDAQ US Large Cap Industrial Machinery,NQUSL2757,USD,other_indices,global_indices
united states,NQ US Mid Cap Clothing and Accessories,NASDAQ US Mid Cap Clothing and Accessories,NQUSM3763,USD,other_indices,global_indices
united states,NQ US Large Cap Consumer Goods,NASDAQ US Large Cap Consumer Goods,NQUSL3000,USD,other_indices,global_indices
united states,NQ US Large Cap Financial Administration,NASDAQ US Large Cap Financial Administration,NQUSL2795,USD,other_indices,global_indices
